DateTime            	Car ID	Vehicle	VType	Day	ReqT	EntHr	EntMin	ExitHr	ExitMin	TDelay	IdleT	TBill	Fine	PL No.	PLZone	nFree	nFill	Tries	DFS	IdleVeh	tFree	z1Free	z2Free	z3Free	z4Free	dReq	
2022-01-01 13:29:00	1116	Staff	5	1	3272	13	29	14	24	3272	19745	41	0	10	1	0	5	1	384	14	54	0	30	4	20	16	
2022-01-01 08:00:00	1156	Faculty	2	1	9078	8	0	8	0	0	0	0	0	0	0	0	0	2	672	17	0	0	0	0	0	16	
2022-01-01 12:27:00	1084	Faculty	2	1	6484	12	27	14	15	6484	16018	189	0	3	2	9	4	1	386	14	54	4	24	5	21	16	
2022-01-01 13:18:00	1106	Faculty	2	1	3910	13	18	14	23	3910	19055	114	0	9	1	0	5	1	384	11	50	1	26	3	20	16	
2022-01-01 12:31:00	1079	Student	3	1	7203	12	31	14	31	7203	16287	135	0	11	3	3	1	1	654	11	50	3	23	5	19	16	
2022-01-01 12:50:00	1097	Student	3	1	5783	12	50	14	26	5783	17397	108	0	8	1	1	2	1	354	8	48	1	24	4	19	16	
2022-01-01 12:30:00	1077	Student	3	1	8083	12	30	14	45	8083	16211	152	0	0	4	9	2	1	672	12	51	3	24	5	19	17	
2022-01-01 10:38:00	1031	Staff	5	1	13954	10	38	14	31	13954	9484	174	0	6	2	3	9	2	365	5	48	3	19	4	22	17	
2022-01-01 14:32:00	1160	Visitor	1	1	223	14	32	14	36	223	23548	9	0	10	1	0	5	1	384	16	42	5	14	4	19	17	
2022-01-01 14:10:00	1122	Faculty	2	1	1541	14	10	14	36	1541	22222	45	0	13	2	0	3	2	579	17	40	1	16	4	19	17	
2022-01-01 14:01:00	1131	Faculty	2	1	2509	14	1	14	42	2509	21633	73	0	3	2	6	7	1	386	23	47	2	22	4	19	17	
2022-01-01 14:21:00	1151	Faculty	2	1	1496	14	21	14	46	1496	22888	44	0	3	2	2	11	1	386	14	41	4	15	3	19	17	
2022-01-01 12:48:00	1096	Visitor	1	1	6782	12	48	14	41	6782	17296	283	0	7	1	0	3	1	354	9	49	1	24	5	19	17	
2022-01-01 11:05:00	1046	Staff	5	1	13128	11	5	14	44	13128	11104	1164	970	7	1	0	3	1	354	8	51	3	22	5	21	18	
2022-01-01 13:08:00	1105	Faculty	2	1	5669	13	8	14	42	5669	18462	165	0	4	2	7	6	1	386	8	48	1	23	4	20	18	
2022-01-01 14:05:00	1134	Staff	5	1	2401	14	5	14	45	2401	21894	30	0	3	2	6	7	1	386	21	45	3	19	4	19	18	
2022-01-01 13:01:00	1101	Faculty	2	1	6529	13	1	14	49	6529	18040	190	0	6	2	1	11	1	365	12	49	1	25	4	19	18	
2022-01-01 14:17:00	1152	Student	3	1	2166	14	17	14	53	2166	22629	41	0	10	1	0	5	1	384	13	36	2	12	3	19	19	
2022-01-01 13:57:00	1128	Student	3	1	4109	13	57	15	5	4109	21396	77	0	1	4	9	2	1	672	19	46	1	23	4	18	19	
2022-01-01 14:07:00	1117	Student	3	1	3325	14	7	15	3	3325	22041	62	0	13	2	0	3	2	579	20	42	2	17	4	19	19	
2022-01-01 08:00:00	1179	Staff	5	1	12538	8	0	8	0	0	0	0	0	0	0	0	0	2	672	23	0	0	0	0	0	20	
2022-01-01 14:49:00	1172	Faculty	2	1	460	14	49	14	57	460	24558	13	0	10	1	0	5	1	384	21	40	1	16	3	20	21	
2022-01-01 14:04:00	1130	Faculty	2	1	3921	14	4	15	9	3921	21812	114	0	13	2	2	1	1	579	23	47	3	21	4	19	21	
2022-01-01 08:00:00	1180	Visitor	1	1	9273	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	21	
2022-01-01 14:57:00	1189	Student	3	1	293	14	57	15	2	293	25030	5	0	7	1	0	3	1	354	21	36	1	12	3	20	21	
2022-01-01 08:00:00	1182	Faculty	2	1	4900	8	0	8	0	0	0	0	0	0	0	0	0	2	672	22	0	0	0	0	0	21	
2022-01-01 12:49:00	1087	Faculty	2	1	8352	12	49	15	8	8352	17313	244	0	5	2	2	10	2	365	8	49	1	24	5	19	21	
2022-01-01 13:02:00	1098	Staff	5	1	7306	13	2	15	4	7306	18127	91	0	8	1	0	3	1	354	11	50	2	25	4	19	21	
2022-01-01 11:53:00	1066	Visitor	1	1	10799	11	53	14	53	10799	14000	450	0	6	2	3	9	1	365	4	58	4	27	5	22	21	
2022-01-01 14:33:00	1141	Student	3	1	2024	14	33	15	7	2024	23600	38	0	11	3	2	2	2	654	16	44	5	16	4	19	21	
2022-01-01 12:04:00	1065	Visitor	1	1	10696	12	4	15	2	10696	14626	446	0	5	2	4	8	1	365	4	58	4	28	5	21	21	
2022-01-01 14:03:00	1143	Visitor	1	1	3067	14	3	14	55	3067	21810	128	0	4	2	8	5	1	386	24	47	3	21	4	19	21	
2022-01-01 14:11:00	1150	Staff	5	1	3474	14	11	15	9	3474	22281	43	0	4	2	7	6	1	386	16	40	1	16	4	19	23	
2022-01-01 14:33:00	1154	Faculty	2	1	3060	14	33	15	24	3060	23571	89	0	3	2	2	11	1	386	16	44	5	16	4	19	23	
2022-01-01 08:00:00	1190	Staff	5	1	7346	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	23	
2022-01-01 08:00:00	1197	Student	3	1	11753	8	0	8	0	0	0	0	0	0	0	0	0	2	672	17	0	0	0	0	0	23	
2022-01-01 13:05:00	1100	Visitor	1	1	7734	13	5	15	14	7734	18285	322	0	3	2	8	5	1	386	8	49	2	23	4	20	23	
2022-01-01 12:25:00	1081	Student	3	1	9839	12	25	15	9	9839	15892	184	0	9	1	2	3	1	384	14	55	4	25	5	21	23	
2022-01-01 12:46:00	1093	Faculty	2	1	9034	12	46	15	17	9034	17181	263	0	4	2	8	5	1	386	9	51	3	24	5	19	23	
2022-01-01 14:14:00	1145	Faculty	2	1	3180	14	14	15	7	3180	22435	93	0	10	1	0	5	1	384	15	38	1	14	4	19	23	
2022-01-01 11:24:00	1054	Student	3	1	13919	11	24	15	16	13919	12214	261	0	5	2	4	8	1	365	2	57	6	25	4	22	23	
2022-01-01 13:32:00	1114	Faculty	2	1	7214	13	32	15	32	7214	19917	210	0	6	2	3	9	1	365	14	53	0	29	4	20	25	
2022-01-01 08:00:00	1206	Visitor	1	1	5940	8	0	8	0	0	0	0	0	0	0	0	0	2	672	17	0	0	0	0	0	25	
2022-01-01 08:00:00	1205	Student	3	1	6850	8	0	8	0	0	0	0	0	0	0	0	0	2	672	18	0	0	0	0	0	25	
2022-01-01 12:38:00	1080	Faculty	2	1	10255	12	38	15	29	10255	16686	299	0	6	2	2	10	1	365	11	49	2	23	5	19	25	
2022-01-01 08:00:00	1198	Visitor	1	1	10029	8	0	8	0	0	0	0	0	0	0	0	0	2	672	9	0	0	0	0	0	25	
